"Story","Title","Result","Date","Stability","Duration (s)"
"Create user","user creation test","ERROR","2024-10-29T00:50:35.1283111-05:00[America/Bogota]","0.0","15.23"
"Create user","Login test","ERROR","2024-10-29T00:50:50.6789844-05:00[America/Bogota]","0.0","9.24"
