"Story","Title","Result","Date","Stability","Duration (s)"
"Create user","user creation test","SUCCESS","2024-10-29T13:01:50.6621955-05:00[America/Bogota]","0.0","15.96"
"Create user","Login test","SUCCESS","2024-10-29T13:02:06.7885487-05:00[America/Bogota]","0.0","22.51"
